Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-5.4800e-04,0.08,0.12
-5.4600e-04,0.08,0.16
-5.4400e-04,0.12,0.08
-5.4200e-04,0.04,0.04
-5.4000e-04,0.04,0.04
-5.3800e-04,0.04,0.08
-5.3600e-04,0,-0.04
-5.3400e-04,0.08,0.04
-5.3200e-04,0.08,0
-5.3000e-04,0.12,0.08
-5.2800e-04,0.04,0.08
-5.2600e-04,0.04,0.12
-5.2400e-04,0.12,0
-5.2200e-04,0.04,0
-5.2000e-04,0.12,0.04
-5.1800e-04,0.04,0.08
-5.1600e-04,0.08,0
-5.1400e-04,0.12,0.08
-5.1200e-04,0.12,0
-5.1000e-04,0.12,0
-5.0800e-04,0.08,0
-5.0600e-04,0,0.08
-5.0400e-04,0.08,0.12
-5.0200e-04,0.04,-0.04
-5.0000e-04,0.12,0.08
-4.9800e-04,0.12,0.04
-4.9600e-04,0,0
-4.9400e-04,0.12,0.04
-4.9200e-04,0.04,0
-4.9000e-04,0.12,0.04
-4.8800e-04,0.12,0.08
-4.8600e-04,0.08,0.08
-4.8400e-04,0.08,0.12
-4.8200e-04,0,0.08
-4.8000e-04,0.04,0.08
-4.7800e-04,0.08,0.04
-4.7600e-04,-0.04,0.04
-4.7400e-04,0.08,0.08
-4.7200e-04,0.08,0.04
-4.7000e-04,0.04,0.08
-4.6800e-04,0,0.04
-4.6600e-04,0,0.04
-4.6400e-04,0.16,0.04
-4.6200e-04,0.12,0.04
-4.6000e-04,0,0.08
-4.5800e-04,0.08,0.12
-4.5600e-04,0,0
-4.5400e-04,0,0.12
-4.5200e-04,0.04,-0.04
-4.5000e-04,0.08,0.04
-4.4800e-04,0,0.04
-4.4600e-04,0.08,0.04
-4.4400e-04,0.08,0
-4.4200e-04,0.04,0.08
-4.4000e-04,0.04,0
-4.3800e-04,0.08,0.08
-4.3600e-04,0.04,0
-4.3400e-04,0.12,0.04
-4.3200e-04,0.12,0
-4.3000e-04,0.08,0.08
-4.2800e-04,0,0.08
-4.2600e-04,0.12,0.08
-4.2400e-04,0.08,0.04
-4.2200e-04,0.12,0.08
-4.2000e-04,0.04,0.04
-4.1800e-04,0.12,0.04
-4.1600e-04,0.12,0.04
-4.1400e-04,0.12,0.08
-4.1200e-04,0.12,-0.04
-4.1000e-04,0.08,0
-4.0800e-04,-0.04,0.04
-4.0600e-04,0.04,0.12
-4.0400e-04,0.12,0.12
-4.0200e-04,0.12,0
-4.0000e-04,0.08,0.04
-3.9800e-04,0,0.08
-3.9600e-04,0,0
-3.9400e-04,0.08,0.08
-3.9200e-04,0.04,0.04
-3.9000e-04,0.08,-0.04
-3.8800e-04,-0.04,0.04
-3.8600e-04,0,0.08
-3.8400e-04,0,0.08
-3.8200e-04,0.04,0.12
-3.8000e-04,0,0.08
-3.7800e-04,0.04,0
-3.7600e-04,0.08,0
-3.7400e-04,0.08,0.12
-3.7200e-04,0.08,0.04
-3.7000e-04,0.12,0.04
-3.6800e-04,0.08,0.04
-3.6600e-04,0.08,0.04
-3.6400e-04,0,0.08
-3.6200e-04,0,0.12
-3.6000e-04,0,0
-3.5800e-04,0.12,0.04
-3.5600e-04,0,0.08
-3.5400e-04,0.08,0.08
-3.5200e-04,0.04,0.12
-3.5000e-04,0.08,0.04
-3.4800e-04,0.12,0.04
-3.4600e-04,0.04,0.04
-3.4400e-04,0.12,0.08
-3.4200e-04,0.04,0.04
-3.4000e-04,0.12,0.04
-3.3800e-04,0.04,0.08
-3.3600e-04,0,0
-3.3400e-04,0.08,0.04
-3.3200e-04,0.04,0.04
-3.3000e-04,0,0
-3.2800e-04,0.08,0
-3.2600e-04,0.08,-0.04
-3.2400e-04,0.08,0
-3.2200e-04,0.08,0.08
-3.2000e-04,0.04,0
-3.1800e-04,0.08,0
-3.1600e-04,0,0
-3.1400e-04,0,0
-3.1200e-04,0.04,-0.04
-3.1000e-04,0.08,0.08
-3.0800e-04,0.12,0
-3.0600e-04,0.08,0.04
-3.0400e-04,0.12,0.04
-3.0200e-04,0.08,0.08
-3.0000e-04,0.08,0.08
-2.9800e-04,0.08,0
-2.9600e-04,0.08,0.04
-2.9400e-04,0.04,0.08
-2.9200e-04,0.04,0.04
-2.9000e-04,0,0.04
-2.8800e-04,0,0.04
-2.8600e-04,0.04,0.04
-2.8400e-04,0.04,0.04
-2.8200e-04,0.08,0
-2.8000e-04,0.08,0
-2.7800e-04,0.04,0
-2.7600e-04,0.04,0.04
-2.7400e-04,0.12,0.08
-2.7200e-04,0.04,0
-2.7000e-04,0.08,0.08
-2.6800e-04,0,0
-2.6600e-04,0,0.16
-2.6400e-04,0,0.12
-2.6200e-04,0.08,0
-2.6000e-04,0.08,0.12
-2.5800e-04,0.08,0.04
-2.5600e-04,0.12,0
-2.5400e-04,0,0
-2.5200e-04,0,0
-2.5000e-04,0.12,0.12
-2.4800e-04,0.08,0.12
-2.4600e-04,0.08,0.04
-2.4400e-04,0.04,0.08
-2.4200e-04,0.08,0.04
-2.4000e-04,0.12,-0.04
-2.3800e-04,0,0.04
-2.3600e-04,0.08,0.08
-2.3400e-04,0.08,0.08
-2.3200e-04,0.08,0
-2.3000e-04,0.12,0.04
-2.2800e-04,0,0.08
-2.2600e-04,0,0.04
-2.2400e-04,0,0
-2.2200e-04,0.04,0.04
-2.2000e-04,0.08,-0.12
-2.1800e-04,0.04,0
-2.1600e-04,0.08,0
-2.1400e-04,0.04,0.08
-2.1200e-04,0.04,0.08
-2.1000e-04,0.08,0.04
-2.0800e-04,0.12,0.08
-2.0600e-04,0.08,0.04
-2.0400e-04,0.08,0.04
-2.0200e-04,0.08,0
-2.0000e-04,0.08,0.08
-1.9800e-04,-0.04,0.04
