# Tue Sep  5 19:18:36 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0, T = 0, nplc=0.5
8.119181871414184570e+00,4.000549999999999939e-01,3.948630000000000068e-07
8.138323068618774414e+00,4.000500000000000167e-01,3.906989999999999968e-07
8.156497955322265625e+00,4.000509999999999899e-01,3.903220000000000192e-07
8.176573753356933594e+00,4.000469999999999859e-01,3.872249999999999750e-07
8.193689823150634766e+00,4.000489999999999879e-01,3.876239999999999775e-07
8.213063001632690430e+00,4.000449999999999839e-01,3.839950000000000182e-07
8.232270956039428711e+00,4.000489999999999879e-01,3.873610000000000234e-07
8.250500440597534180e+00,4.000449999999999839e-01,3.852030000000000116e-07
8.270270824432373047e+00,4.000429999999999819e-01,3.865800000000000113e-07
8.292449474334716797e+00,4.000420000000000087e-01,3.892829999999999793e-07
8.308945655822753906e+00,4.000480000000000147e-01,3.889720000000000237e-07
8.327396631240844727e+00,4.000460000000000127e-01,3.887519999999999860e-07
8.346771478652954102e+00,4.000480000000000147e-01,3.919250000000000105e-07
8.365479469299316406e+00,4.000449999999999839e-01,3.943130000000000184e-07
8.384531021118164062e+00,4.000480000000000147e-01,3.973160000000000090e-07
8.407455921173095703e+00,4.000460000000000127e-01,3.904020000000000041e-07
8.423168659210205078e+00,4.000509999999999899e-01,3.895550000000000230e-07
8.441499710083007812e+00,4.000469999999999859e-01,3.880170000000000261e-07
8.460380077362060547e+00,4.000500000000000167e-01,3.883100000000000142e-07
8.479526281356811523e+00,4.000560000000000227e-01,3.851920000000000256e-07
8.498325586318969727e+00,4.000520000000000187e-01,3.864230000000000185e-07
8.524317741394042969e+00,4.000520000000000187e-01,3.878520000000000243e-07
8.537308454513549805e+00,4.000509999999999899e-01,3.897779999999999847e-07
8.556297540664672852e+00,4.000540000000000207e-01,3.872800000000000109e-07
8.575286388397216797e+00,4.000509999999999899e-01,3.844959999999999775e-07
8.593467950820922852e+00,4.000529999999999919e-01,3.828679999999999844e-07
8.612454414367675781e+00,4.000500000000000167e-01,3.845070000000000165e-07
8.632409572601318359e+00,4.000489999999999879e-01,3.865659999999999954e-07
8.650432825088500977e+00,4.000489999999999879e-01,3.898250000000000116e-07
8.668945074081420898e+00,4.000469999999999859e-01,3.926529999999999890e-07
8.688167095184326172e+00,4.000529999999999919e-01,3.849699999999999856e-07
8.706881761550903320e+00,4.000449999999999839e-01,3.885199999999999876e-07
8.725657701492309570e+00,4.000480000000000147e-01,3.879369999999999883e-07
8.748914718627929688e+00,4.000449999999999839e-01,3.904600000000000169e-07
8.763906240463256836e+00,4.000469999999999859e-01,3.908789999999999891e-07
8.781825542449951172e+00,4.000429999999999819e-01,3.912779999999999915e-07
8.800285339355468750e+00,4.000489999999999879e-01,3.899179999999999847e-07
8.819963455200195312e+00,4.000480000000000147e-01,3.900959999999999747e-07
8.838870286941528320e+00,4.000549999999999939e-01,3.927199999999999855e-07
8.857917070388793945e+00,4.000529999999999919e-01,3.897189999999999972e-07
8.875852346420288086e+00,4.000500000000000167e-01,3.898290000000000161e-07
8.894742012023925781e+00,4.000460000000000127e-01,3.827879999999999996e-07
8.914105176925659180e+00,4.000520000000000187e-01,3.844559999999999851e-07
8.933166265487670898e+00,4.000500000000000167e-01,3.873879999999999746e-07
8.952150583267211914e+00,4.000489999999999879e-01,3.847899999999999933e-07
8.972643375396728516e+00,4.000400000000000067e-01,3.934560000000000260e-07
8.989939212799072266e+00,4.000420000000000087e-01,3.942020000000000249e-07
