Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-1.9450e-03,0.03,0.1
-1.9440e-03,-0.03,0.08
-1.9430e-03,-0.01,0.1
-1.9420e-03,0.01,0.08
-1.9410e-03,0.03,0.14
-1.9400e-03,0.01,0.12
-1.9390e-03,0.03,0.06
-1.9380e-03,0.01,0.08
-1.9370e-03,-0.05,0.1
-1.9360e-03,0.03,0.08
-1.9350e-03,0.01,0.1
-1.9340e-03,0.03,0.1
-1.9330e-03,-0.01,0.1
-1.9320e-03,-0.03,0.1
-1.9310e-03,0.03,0.06
-1.9300e-03,0.01,0.08
-1.9290e-03,0.01,0.1
-1.9280e-03,-0.01,0.08
-1.9270e-03,0.01,0.1
-1.9260e-03,0.01,0.04
-1.9250e-03,0.01,0.1
-1.9240e-03,-0.01,0.1
-1.9230e-03,0.03,0.08
-1.9220e-03,0.01,0.1
-1.9210e-03,0.03,0.1
-1.9200e-03,0.03,0.08
-1.9190e-03,0.01,0.12
-1.9180e-03,0.03,0.1
-1.9170e-03,0.03,0.08
-1.9160e-03,0.03,0.1
-1.9150e-03,0.01,0.1
-1.9140e-03,0.01,0.12
-1.9130e-03,0.03,0.08
-1.9120e-03,0.01,0.08
-1.9110e-03,0.01,0.08
-1.9100e-03,0.01,0.12
-1.9090e-03,0.01,0.12
-1.9080e-03,-0.01,0.14
-1.9070e-03,0.01,0.12
-1.9060e-03,0.05,0.08
-1.9050e-03,0.01,0.14
-1.9040e-03,0.01,0.08
-1.9030e-03,0.01,0.06
-1.9020e-03,-0.01,0.1
-1.9010e-03,0.01,0.08
-1.9000e-03,0.03,0.08
-1.8990e-03,0.03,0.12
-1.8980e-03,0.01,0.08
-1.8970e-03,0.01,0.14
-1.8960e-03,0.03,0.14
-1.8950e-03,0.01,0.04
-1.8940e-03,-0.01,0.08
-1.8930e-03,0.01,0.08
-1.8920e-03,0.03,0.12
-1.8910e-03,0.03,0.08
-1.8900e-03,0.01,0.1
-1.8890e-03,0.03,0.08
-1.8880e-03,0.01,0.1
